 Oct 15,Boston,Vegas,Buffalo,Anaheim,NY Islanders,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,
 Oct 16,Tampa Bay,Detroit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Oct 17,Pittsburgh,NY Rangers,Florida,Philadelphia,Toronto,Washington,Tampa Bay,New Jersey,Vancouver,Ottawa,Colorado,Nashville,Columbus,Winnipeg,Arizona,Dallas,Carolina,Edmonton,Buffalo,Vegas,Montr̩al,San Jose,,,,,,,,
 Oct 18,Detroit,Toronto,Chicago,St. Louis,Montr̩al,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,
 Oct 19,Vancouver,Boston,NY Islanders,NY Rangers,Nashville,Philadelphia,Tampa Bay,Columbus,New Jersey,Ottawa,Edmonton,Chicago,St. Louis,Colorado,Carolina,Calgary,Dallas,Arizona,,,,,,,,,,,,
 Oct 20,Vancouver,Buffalo,San Jose,New Jersey,Washington,Detroit,Pittsburgh,Florida,Minnesota,Winnipeg,Montr̩al,Anaheim,,,,,,,,,,,,,,,,,,
 Oct 21,Nashville,NY Rangers,Edmonton,Philadelphia,Buffalo,Boston,Toronto,Ottawa,Pittsburgh,Tampa Bay,San Jose,NY Islanders,Los Angeles,Columbus,Florida,Washington,Carolina,Dallas,Chicago,Arizona,Minnesota,Calgary,St. Louis,Vegas,,,,,,
 Oct 22,Vancouver,Detroit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Oct 23,Los Angeles,Toronto,San Jose,NY Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,
 Oct 24,Arizona,NY Islanders,Anaheim,Philadelphia,Edmonton,Pittsburgh,Tampa Bay,Carolina,Detroit,Buffalo,Florida,Montr̩al,Los Angeles,Ottawa,Calgary,Nashville,Vancouver,Minnesota,Dallas,Colorado,Chicago,Vegas,,,,,,,,
 Oct 25,Calgary,St. Louis,Buffalo,Columbus,,,,,,,,,,,,,,,,,,,,,,,,,,
 Oct 26,San Jose,Boston,Carolina,Toronto,Arizona,NY Rangers,Winnipeg,Pittsburgh,Los Angeles,Montr̩al,Philadelphia,Ottawa,Detroit,Tampa Bay,Anaheim,Florida,NY Islanders,Minnesota,Dallas,Edmonton,Washington,Vancouver,,,,,,,,
