Actual Rank,Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
1,20,/u/Hotwired38,84,18,53,22,74,26,2,193,343,110,63,8,6,1.75,254,0.945,1
2,19,/u/Dangled0re,106,24,36,-4,74,20,1,219,273,123,84,10,8,2.78,299,0.913,1
3,18,/u/canadaq,101,29,37,10,69,21,4,243,188,142,67,10,2,2.99,270,0.904,1
4,17,/u/BuffaloSobbers1,98,24,28,-7,49,22,2,238,338,125,82,13,9,3.17,427,0.904,1
5,16,/u/crayfishparty2,102,16,43,-15,34,22,1,249,200,119,60,10,8,1.69,332,0.949,1
6,15,/u/joey3140,104,23,52,5,45,26,2,219,136,91,73,9,5,2.7,274,0.916,1
6,15,/u/scomar201,103,24,39,17,53,22,1,189,267,78,86,9,4,1.67,213,0.944,1
8,13,/u/xskilledsnipax,110,27,44,3,54,20,3,264,38,111,93,11,4,3.1,307,0.902,0
8,13,/u/xprmnts,105,23,43,24,55,9,2,254,199,124,74,9,7,3,291,0.907,0
10,11,/u/TheManagement,98,24,28,-2,49,12,0,215,198,139,101,11,5,2.28,315,0.924,1
11,10,/u/acegfx,99,32,31,17,24,11,3,196,310,60,68,9,6,2.44,282,0.922,0
12,9,/u/rjupp24,104,13,46,-27,68,22,0,241,175,107,88,7,4,2.58,208,0.913,0
13,8,/u/flykessel,91,20,33,-13,44,19,2,152,345,106,64,8,4,3,243,0.914,1
14,7,Huge's Real Gud Pros,91,20,26,-11,93,10,1,204,205,152,73,6,3,2.58,162,0.914,0
15,6,/u/mcgrevin,104,24,39,-28,81,21,1,218,192,148,52,9,1,3.22,222,0.892,0
16,5,/u/phoninghome,89,19,42,-19,58,17,0,182,223,81,108,6,2,2.8,177,0.91,0
17,4,/u/Truxa,103,17,34,-7,60,19,0,237,148,102,71,8,4,3.61,251,0.896,0
18,3,u/ctrl_alt_karma,81,27,26,9,59,16,0,191,106,96,60,7,2,3.51,181,0.884,1
19,2,/u/idrisk2000,94,25,36,1,30,23,2,208,187,65,44,3,0,3.27,88,0.886,0
20,1,/u/ninjaemperor,86,19,30,3,56,14,2,183,240,68,50,6,1,4.78,208,0.87,0
