Rank,Actual Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
20,1,/u/Hotwired38,110,25,67,18,86,33,2,261,443,149,82,11,7,2.09,355,0.935,1
19,2,/u/BuffaloSobbers1,130,35,35,-5,63,25,2,308,449,161,108,17,12,2.84,552,0.913,2
18,3,/u/crayfishparty2,134,24,57,-12,42,30,1,327,296,148,90,14,10,2.07,454,0.936,1
17,4,/u/canadaq,132,34,48,2,101,28,4,304,236,184,81,13,4,2.87,374,0.909,1
16,5,/u/joey3140,137,29,62,7,57,28,2,288,175,130,102,10,6,2.41,302,0.924,2
15,5,/u/xprmnts,138,31,47,15,73,12,3,328,298,158,96,14,10,2.85,424,0.91,0
14,7,/u/acegfx,128,39,43,29,32,12,4,250,407,77,94,12,8,2.49,381,0.921,1
13,8,/u/scomar201,135,28,50,13,55,26,1,256,341,99,112,12,6,2.45,300,0.923,1
12,9,/u/TheManagement,129,34,33,-10,59,17,0,274,262,180,129,14,7,2.52,443,0.923,1
11,10,/u/Dangled0re,134,28,43,-16,92,23,1,277,330,161,107,12,9,3,360,0.906,1
10,11,/u/xskilledsnipax,141,34,50,-4,70,25,3,329,63,140,118,12,4,3.38,352,0.898,0
9,12,/u/rjupp24,135,17,57,-40,86,28,0,312,211,134,113,10,6,2.5,299,0.923,0
8,13,/u/flykessel,117,25,41,-16,52,25,3,202,447,133,85,9,4,3.01,274,0.912,1
7,14,/u/mcgrevin,132,30,51,-28,97,25,1,279,241,179,71,10,2,3.29,253,0.889,0
6,15,/u/phoninghome,113,24,50,-26,74,23,0,247,283,101,125,9,4,2.77,260,0.908,0
6,16,/u/idrisk2000,126,32,58,-5,36,30,2,274,235,84,65,5,1,2.87,128,0.891,0
4,17,u/ctrl_alt_karma,108,34,40,12,65,24,0,237,133,118,84,10,3,3.07,272,0.901,1
3,18,/u/Truxa,132,21,44,3,68,21,0,324,173,129,94,10,4,3.88,305,0.882,0
2,19,Huge's Real Gud Pros,114,25,31,-10,111,12,1,248,244,183,90,8,3,3.11,208,0.894,0
1,20,/u/ninjaemperor,109,30,42,11,68,22,2,234,312,90,73,7,1,4.68,238,0.87,0
