Rank,Actual Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
20,1,/u/Hotwired38,112,25,69,18,86,33,2,264,450,151,86,11,7,2.09,355,0.935,1
19,2,/u/BuffaloSobbers1,130,35,35,-5,63,25,2,308,449,161,108,17,12,2.84,552,0.913,2
18,3,/u/crayfishparty2,135,24,59,-10,42,30,1,330,305,149,90,14,10,2.07,454,0.936,1
17,4,/u/xprmnts,141,32,48,18,73,12,3,331,309,165,96,14,10,2.85,424,0.91,0
16,5,/u/joey3140,138,30,62,5,57,28,2,289,176,130,103,10,6,2.41,302,0.924,2
15,6,/u/canadaq,133,34,49,2,101,28,4,305,236,184,81,13,4,2.87,374,0.909,1
14,7,/u/acegfx,130,39,44,26,32,12,4,253,416,77,95,12,8,2.49,381,0.921,1
13,8,/u/scomar201,135,28,50,13,55,26,1,256,341,99,112,12,6,2.45,300,0.923,1
12,9,/u/TheManagement,129,34,33,-10,59,17,0,274,262,180,129,14,7,2.52,443,0.923,1
11,10,/u/Dangled0re,134,28,43,-16,92,23,1,277,330,161,107,12,9,3,360,0.906,1
10,11,/u/xskilledsnipax,142,33,51,-6,68,25,3,329,63,141,120,13,4,3.43,389,0.897,0
9,12,/u/rjupp24,135,17,58,-40,86,28,0,312,211,134,113,10,6,2.5,299,0.923,0
8,13,/u/flykessel,119,25,41,-17,54,25,3,203,448,136,86,9,4,3.01,274,0.912,1
7,14,/u/phoninghome,113,24,51,-26,74,23,0,247,283,101,125,9,4,2.77,260,0.908,0
6,15,/u/idrisk2000,129,32,58,-6,36,30,2,278,241,89,66,6,2,2.56,149,0.899,0
5,16,/u/mcgrevin,133,31,50,-27,97,25,1,281,241,180,71,10,2,3.29,253,0.889,0
4,17,u/ctrl_alt_karma,111,35,40,11,67,24,0,246,141,121,85,10,3,3.07,272,0.901,1
3,18,/u/Truxa,135,21,45,4,70,21,0,328,174,130,96,10,4,3.88,305,0.882,0
2,19,Huge's Real Gud Pros,115,25,32,-9,111,12,1,250,244,184,91,8,3,3.11,208,0.894,0
1,20,/u/ninjaemperor,109,30,42,11,68,22,2,234,312,90,73,7,1,4.68,238,0.87,0
