Actual Rank,Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
1,20,/u/Hotwired38,94,19,58,23,76,27,2,214,377,125,71,9,6,1.67,278,0.946,1
2,19,/u/BuffaloSobbers1,112,29,29,-5,57,23,2,274,382,141,91,14,10,2.94,470,0.913,2
3,18,/u/canadaq,112,29,40,9,75,23,4,261,207,158,72,12,3,2.95,349,0.908,1
4,17,/u/crayfishparty2,112,22,47,-15,40,24,1,275,223,120,67,12,9,1.83,394,0.944,1
5,16,/u/scomar201,116,25,43,21,53,23,1,220,297,88,95,11,5,2.39,261,0.923,1
6,15,/u/Dangled0re,116,25,38,-8,76,21,1,238,293,138,94,10,8,2.78,299,0.913,1
7,14,/u/acegfx,109,33,36,21,28,11,3,218,347,66,75,11,8,2.27,339,0.926,1
8,13,/u/xprmnts,116,26,43,23,59,9,2,285,235,135,81,11,8,3.1,330,0.903,0
9,12,/u/xskilledsnipax,122,29,47,2,60,23,3,281,43,119,102,11,4,3.1,307,0.902,0
10,11,/u/joey3140,116,23,58,2,51,27,2,241,159,109,80,9,5,2.7,274,0.916,1
11,10,/u/TheManagement,110,27,28,-5,51,13,0,230,231,157,107,12,5,2.52,361,0.92,1
12,9,/u/rjupp24,115,16,50,-28,74,25,0,267,193,119,93,7,4,2.58,208,0.913,0
13,8,/u/flykessel,99,21,33,-16,46,20,2,170,355,113,73,8,4,3,243,0.914,1
14,7,/u/mcgrevin,114,27,44,-22,85,22,1,243,207,156,61,9,1,3.22,222,0.892,0
15,6,Huge's Real Gud Pros,98,21,28,-11,99,10,1,214,211,162,80,7,3,2.96,186,0.903,0
16,5,/u/Truxa,113,19,36,-3,64,19,0,272,157,114,81,8,4,3.61,251,0.896,0
17,4,/u/phoninghome,93,19,42,-19,58,17,0,191,223,86,114,7,3,2.54,203,0.916,0
18,3,/u/idrisk2000,106,27,47,-3,34,27,2,239,210,73,49,4,0,3.1,106,0.887,0
19,2,u/ctrl_alt_karma,86,27,27,11,59,17,0,193,106,100,64,8,3,3.12,212,0.896,1
20,1,/u/ninjaemperor,94,21,33,5,62,15,2,198,258,79,57,6,1,4.78,208,0.87,0
