Rank,Actual Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
20,1,/u/Hotwired38,124,26,74,21,100,33,2,287,482,170,106,12,7,2.17,388,0.933,1
19,2,/u/BuffaloSobbers1,145,37,37,-9,65,25,2,342,510,177,116,19,14,2.64,614,0.919,2
18,3,/u/joey3140,155,31,65,3,65,29,2,325,193,150,117,12,8,2.34,373,0.928,2
17,4,/u/crayfishparty2,150,26,62,-14,46,31,1,355,342,169,103,16,11,2.19,518,0.932,1
16,5,/u/acegfx,147,40,50,30,43,14,4,294,488,92,120,13,8,2.44,413,0.923,1
15,6,/u/xprmnts,159,35,51,25,75,12,4,367,365,188,106,15,10,3.07,449,0.902,0
14,7,/u/canadaq,144,35,52,8,103,29,4,329,250,192,89,15,5,2.96,433,0.905,1
13,7,/u/TheManagement,146,37,35,-12,67,19,0,314,281,206,147,17,9,2.44,507,0.925,1
12,9,/u/scomar201,150,30,56,13,59,27,1,286,371,106,120,14,7,2.41,346,0.925,2
11,10,/u/Dangled0re,150,30,46,-20,102,27,1,306,382,176,113,13,10,2.92,398,0.91,1
10,11,/u/xskilledsnipax,156,34,59,-3,72,26,3,365,80,150,128,15,5,3.08,448,0.906,0
9,12,/u/mcgrevin,150,36,56,-26,118,30,1,324,277,203,80,11,3,2.94,285,0.902,1
8,13,/u/rjupp24,149,18,63,-42,90,29,0,334,233,141,126,11,6,2.74,336,0.917,0
7,14,/u/flykessel,131,30,44,-17,62,28,3,231,464,149,90,11,5,2.81,319,0.915,1
6,15,/u/idrisk2000,140,37,60,-13,42,31,2,303,269,94,73,6,2,2.56,149,0.899,0
6,16,u/ctrl_alt_karma,125,36,43,2,73,25,0,273,163,136,98,11,3,2.96,316,0.908,1
4,17,/u/phoninghome,122,25,52,-26,76,24,0,265,299,106,133,10,4,2.8,287,0.906,0
3,18,/u/Truxa,148,24,47,1,74,21,0,354,186,146,102,10,4,3.88,305,0.882,0
2,19,Huge's Real Gud Pros,124,26,34,-10,125,12,1,270,264,199,97,8,3,3.11,208,0.894,0
1,20,/u/ninjaemperor,120,30,45,12,72,23,2,256,346,99,84,8,1,4.21,263,0.878,0
